2024-10-17 12:17:53,478 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.6748769975760404, accuracy: 0.9310663890816563
2024-10-17 12:17:55,844 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.8053905888840004, accuracy: 0.9078244717901092
2024-10-17 12:17:57,148 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7441027081675, accuracy: 0.9175017478443254
2024-10-17 12:17:57,148 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7444191378924776, accuracy: 0.9079613437643811
2024-10-17 12:17:57,185 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.8290991991320077, accuracy: 0.8934993084370678
2024-10-17 12:17:57,230 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7943827046288384, accuracy: 0.8955916473317865
2024-10-17 12:17:57,349 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.737946057034766, accuracy: 0.9199169166858989
2024-10-17 12:17:57,504 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.7039621275137452, accuracy: 0.9277636741287791
2024-10-17 12:17:58,345 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.22426042316810174, accuracy: 0.9722414989590562
2024-10-17 12:18:00,642 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.24299428043542085, accuracy: 0.9728349198978408
2024-10-17 12:18:01,926 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.24108880763804472, accuracy: 0.9704031694243767
2024-10-17 12:18:02,007 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.24699971151045141, accuracy: 0.9597330878969167
2024-10-17 12:18:02,025 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.2717480142874753, accuracy: 0.9608114338404795
2024-10-17 12:18:02,028 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.27046691477298734, accuracy: 0.9593967517401392
2024-10-17 12:18:02,128 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.22804659084581277, accuracy: 0.9741518578352181
2024-10-17 12:18:02,252 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.20691272019244292, accuracy: 0.975767366720517
2024-10-17 12:18:36,584 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.3609976022887756, accuracy: 0.9383798753750289
2024-10-17 12:18:36,632 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.33674158199745063, accuracy: 0.9492268636048927
2024-10-17 12:18:36,662 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.4145226079556677, accuracy: 0.9273276062224286
2024-10-17 12:18:36,663 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.369997524994391, accuracy: 0.9401072011186203
2024-10-17 12:18:36,702 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.42123171620898775, accuracy: 0.9208816705336427
2024-10-17 12:18:36,814 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.44945354255683284, accuracy: 0.913093591516828
2024-10-17 12:18:36,893 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.36944391956443295, accuracy: 0.9305108145421077
2024-10-17 12:18:36,934 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3352682265069555, accuracy: 0.9477214897062225
2024-10-17 12:18:41,400 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.1522155790041913, accuracy: 0.9813062543272559
2024-10-17 12:18:41,435 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.17028715489087282, accuracy: 0.9776275926357493
2024-10-17 12:18:41,471 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.1486890517613467, accuracy: 0.9808446803600277
2024-10-17 12:18:41,623 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.19734370366290763, accuracy: 0.9689095127610209
2024-10-17 12:18:41,669 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.16763992599315114, accuracy: 0.9804968655676806
2024-10-17 12:18:41,686 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.19993840733214335, accuracy: 0.9693407100046104
2024-10-17 12:18:41,877 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.17812895136611426, accuracy: 0.966405890473999
