2024-10-16 13:32:45,566 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.9457871232713972, accuracy: 0.3830857142857143
2024-10-16 13:32:49,779 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.179849784714835, accuracy: 0.28365714285714283
2024-10-16 13:32:55,040 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.13078601700919, accuracy: 0.30788571428571426
2024-10-16 13:32:55,326 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.0494040182658604, accuracy: 0.3808
2024-10-16 13:32:55,336 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.853222325869969, accuracy: 0.4598857142857143
2024-10-16 13:32:55,559 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.078275636264256, accuracy: 0.35062857142857146
2024-10-16 13:32:56,785 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.9773883240563528, accuracy: 0.38834285714285716
2024-10-16 13:32:56,895 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.067197230884007, accuracy: 0.35062857142857146
2024-10-16 13:33:00,304 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.6032321078436715, accuracy: 0.47268571428571426
2024-10-16 13:33:04,934 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.7765220097133092, accuracy: 0.37005714285714286
2024-10-16 13:33:10,315 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.791765012059893, accuracy: 0.3945142857142857
2024-10-16 13:33:10,504 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.6091644048690796, accuracy: 0.45508571428571426
2024-10-16 13:33:10,862 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.461866089275905, accuracy: 0.5472
2024-10-16 13:33:11,071 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.6442178181239537, accuracy: 0.4070857142857143
2024-10-16 13:33:11,797 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.540270709991455, accuracy: 0.5005714285714286
2024-10-16 13:33:12,108 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.6012130907603672, accuracy: 0.4322285714285714
2024-10-16 13:33:15,550 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.4234082971300397, accuracy: 0.5056
2024-10-16 13:33:19,958 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 1.5557430028915404, accuracy: 0.4374857142857143
2024-10-16 13:33:25,313 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.6853617021015712, accuracy: 0.41805714285714285
2024-10-16 13:33:25,496 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.5212370089122227, accuracy: 0.47497142857142854
2024-10-16 13:33:25,858 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.2634124602590289, accuracy: 0.5947428571428571
2024-10-16 13:33:26,152 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.5255491767610823, accuracy: 0.48137142857142856
2024-10-16 13:33:26,552 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.3527573926108225, accuracy: 0.5606857142857142
2024-10-16 13:33:27,253 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.4667928355080742, accuracy: 0.46537142857142855
2024-10-16 13:33:30,606 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 7] Training on 7 results: loss: 1.4253722429275513, accuracy: 0.5266285714285714
2024-10-16 13:33:34,316 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 6] Training on 6 results: loss: 1.4473070059503828, accuracy: 0.48228571428571426
2024-10-16 13:33:38,546 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 4] Training on 4 results: loss: 1.5921636308942522, accuracy: 0.45371428571428574
2024-10-16 13:33:38,671 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 3] Training on 3 results: loss: 1.3836580072130475, accuracy: 0.5145142857142857
2024-10-16 13:33:39,027 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 2] Training on 2 results: loss: 1.2499358177185058, accuracy: 0.6011428571428571
