test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
2.4807557124125807,0.1,0.01818181818181818,0.01,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,0
2.8608493080622033,0.1659,0.07650861563678549,0.052587219591287704,0.1659,0.0,0.0,0.291,0.552,0.0,0.0,0.816,0.0,0.0,0.0,orchestrator,1
2.071356851843339,0.268,0.2190677005440676,0.36553506725899887,0.268,0.38,0.363,0.292,0.397,0.0,0.0,0.924,0.001,0.287,0.036,orchestrator,2
1.5252146298372293,0.4722,0.4649867442168925,0.5660980141636551,0.47219999999999995,0.522,0.777,0.38,0.417,0.154,0.183,0.939,0.292,0.596,0.462,orchestrator,3
1.2034403968460952,0.5913,0.5881841323515664,0.6256543580470593,0.5913,0.641,0.893,0.353,0.427,0.374,0.447,0.922,0.593,0.686,0.577,orchestrator,4
1.165189798119702,0.6338,0.6300167186393376,0.6573717382816417,0.6338000000000001,0.671,0.925,0.4,0.373,0.485,0.559,0.929,0.65,0.687,0.659,orchestrator,5
1.058087268962136,0.6842,0.6795646787682235,0.6893303087155539,0.6841999999999999,0.683,0.863,0.426,0.424,0.525,0.719,0.831,0.751,0.775,0.845,orchestrator,6
1.085388716263107,0.6919,0.6877707718936745,0.7008181388726901,0.6919000000000002,0.712,0.887,0.455,0.461,0.484,0.706,0.88,0.683,0.794,0.857,orchestrator,7
1.0784255869780914,0.7007,0.6961143745394709,0.7083938451389062,0.7007,0.743,0.838,0.49,0.446,0.464,0.738,0.831,0.781,0.783,0.893,orchestrator,8
1.1015673068505298,0.7092,0.7042988027034922,0.7136639489029915,0.7091999999999999,0.791,0.888,0.457,0.449,0.531,0.675,0.881,0.774,0.803,0.843,orchestrator,9
1.0839725332924082,0.7111,0.7099787822948451,0.7187389197218045,0.7111000000000001,0.804,0.881,0.558,0.543,0.533,0.541,0.886,0.727,0.796,0.842,orchestrator,10
1.0594886526276794,0.7203,0.7194621156234632,0.7267062876599903,0.7202999999999999,0.763,0.893,0.596,0.59,0.571,0.499,0.864,0.75,0.842,0.835,orchestrator,11
1.0711867545224443,0.7234,0.7228538126226633,0.7285896892071717,0.7233999999999999,0.749,0.901,0.599,0.576,0.568,0.557,0.868,0.734,0.861,0.821,orchestrator,12
