iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,1.4253722429275513,0.5266285714285714,"[1.9457871232713972, 1.6032321078436715, 1.4234082971300397, 1.4253722429275513]","[0.3830857142857143, 0.47268571428571426, 0.5056, 0.5266285714285714]"
0,6,1.4473070059503828,0.48228571428571426,"[2.179849784714835, 1.7765220097133092, 1.5557430028915404, 1.4473070059503828]","[0.28365714285714283, 0.37005714285714286, 0.4374857142857143, 0.48228571428571426]"
0,4,1.5921636308942522,0.45371428571428574,"[2.13078601700919, 1.791765012059893, 1.6853617021015712, 1.5921636308942522]","[0.30788571428571426, 0.3945142857142857, 0.41805714285714285, 0.45371428571428574]"
0,3,1.3836580072130475,0.5145142857142857,"[2.0494040182658604, 1.6091644048690796, 1.5212370089122227, 1.3836580072130475]","[0.3808, 0.45508571428571426, 0.47497142857142854, 0.5145142857142857]"
0,2,1.2499358177185058,0.6011428571428571,"[1.853222325869969, 1.461866089275905, 1.2634124602590289, 1.2499358177185058]","[0.4598857142857143, 0.5472, 0.5947428571428571, 0.6011428571428571]"
0,0,1.3617162772587368,0.5158857142857143,"[2.078275636264256, 1.6442178181239537, 1.5255491767610823, 1.3617162772587368]","[0.35062857142857146, 0.4070857142857143, 0.48137142857142856, 0.5158857142857143]"
0,1,1.5483426094055175,0.4470857142857143,"[2.067197230884007, 1.6012130907603672, 1.4667928355080742, 1.5483426094055175]","[0.35062857142857146, 0.4322285714285714, 0.46537142857142855, 0.4470857142857143]"
0,5,1.26020382131849,0.5931428571428572,"[1.9773883240563528, 1.540270709991455, 1.3527573926108225, 1.26020382131849]","[0.38834285714285716, 0.5005714285714286, 0.5606857142857142, 0.5931428571428572]"
1,0,1.2293303762163434,0.5627428571428571,"[1.895623356955392, 1.4649453639984131, 1.3357188190732683, 1.2293303762163434]","[0.3734857142857143, 0.46217142857142857, 0.5154285714285715, 0.5627428571428571]"
1,4,1.3855790036065239,0.49988571428571427,"[1.9439986876079014, 1.6164604936327254, 1.499140705381121, 1.3855790036065239]","[0.35634285714285713, 0.4246857142857143, 0.4566857142857143, 0.49988571428571427]"
1,6,1.2951876946857996,0.5341714285714285,"[1.8867682559149606, 1.5620347533907208, 1.4581695488521031, 1.2951876946857996]","[0.3414857142857143, 0.43794285714285713, 0.47131428571428574, 0.5341714285714285]"
1,7,1.2069284507206508,0.5801142857142857,"[1.7295459815434047, 1.4369048833847047, 1.3121344327926636, 1.2069284507206508]","[0.4422857142857143, 0.5195428571428572, 0.5456, 0.5801142857142857]"
