2024-10-16 13:30:40,363 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.7008620321032513, accuracy: 0.7824761904761904
2024-10-16 13:30:42,986 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.5693841382681605, accuracy: 0.8348571428571429
2024-10-16 13:30:43,202 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7728980284139334, accuracy: 0.7297142857142858
2024-10-16 13:30:43,660 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.574132889509201, accuracy: 0.8314285714285714
2024-10-16 13:30:43,729 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.8231102996561901, accuracy: 0.7371428571428571
2024-10-16 13:30:43,822 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.9656801658222475, accuracy: 0.6455238095238095
2024-10-16 13:30:43,865 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.6966471894677863, accuracy: 0.7516190476190476
2024-10-16 13:30:43,865 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7819871073027691, accuracy: 0.7502857142857143
2024-10-16 13:30:44,004 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.40063184086816855, accuracy: 0.8653333333333333
2024-10-16 13:30:46,404 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.2584812498864639, accuracy: 0.9245714285714286
2024-10-16 13:30:46,688 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.4207670733512166, accuracy: 0.8453333333333334
2024-10-16 13:30:47,214 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.44270541474043607, accuracy: 0.8474285714285714
2024-10-16 13:30:47,226 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.28065377500760985, accuracy: 0.9095238095238095
2024-10-16 13:30:47,226 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.601468161646142, accuracy: 0.7727619047619048
2024-10-16 13:30:47,322 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.35172662426190204, accuracy: 0.8763809523809524
2024-10-16 13:30:47,402 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.4326158370598253, accuracy: 0.8539047619047619
2024-10-16 13:31:21,308 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.39591067634433147, accuracy: 0.8676190476190476
2024-10-16 13:31:21,524 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.46847402905843344, accuracy: 0.8297142857142857
2024-10-16 13:31:21,525 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.32415759536516237, accuracy: 0.9022857142857142
2024-10-16 13:31:21,760 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.314848364476698, accuracy: 0.8988571428571429
2024-10-16 13:31:21,792 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.43201034309634245, accuracy: 0.8603809523809524
2024-10-16 13:31:21,793 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.47825443098344, accuracy: 0.8401904761904762
2024-10-16 13:31:21,909 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.5240705903754177, accuracy: 0.8291428571428572
2024-10-16 13:31:21,909 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.6377617723970528, accuracy: 0.7575238095238095
2024-10-16 13:31:24,909 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.2806294913212937, accuracy: 0.9045714285714286
2024-10-16 13:31:25,050 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.37781339434974165, accuracy: 0.8577142857142858
2024-10-16 13:31:25,050 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.22612592402890505, accuracy: 0.9314285714285714
2024-10-16 13:31:25,171 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.3758745423282485, accuracy: 0.8687619047619047
2024-10-16 13:31:25,267 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.23727993415780815, accuracy: 0.9234285714285714
2024-10-16 13:31:25,288 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.35798384958362006, accuracy: 0.8843809523809524
2024-10-16 13:31:25,381 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.4935939139630421, accuracy: 0.8064761904761905
2024-10-16 13:31:25,399 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.3943592387150569, accuracy: 0.8693333333333333
2024-10-16 13:31:56,748 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.26604658311390017, accuracy: 0.9196190476190477
2024-10-16 13:31:57,049 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.5639113764087837, accuracy: 0.7866666666666666
2024-10-16 13:31:57,074 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3682089070060167, accuracy: 0.8779047619047619
2024-10-16 13:31:57,132 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.39835855292986677, accuracy: 0.8508571428571429
2024-10-16 13:31:57,150 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.258595546887043, accuracy: 0.924
2024-10-16 13:31:57,167 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.42574630964951343, accuracy: 0.8592380952380952
2024-10-16 13:31:57,189 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.462987605886287, accuracy: 0.8582857142857143
2024-10-16 13:31:57,248 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.3289786452449948, accuracy: 0.8874285714285715
2024-10-16 13:32:00,301 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.2106668546975377, accuracy: 0.9323809523809524
2024-10-16 13:32:00,669 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.32398003339767456, accuracy: 0.8975238095238095
2024-10-16 13:32:00,669 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.4544355542544859, accuracy: 0.8247619047619048
2024-10-16 13:32:00,706 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.2005846937557301, accuracy: 0.9424761904761905
2024-10-16 13:32:00,733 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3199216312313654, accuracy: 0.8822857142857143
2024-10-16 13:32:00,753 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.3365787702152528, accuracy: 0.8832380952380953
2024-10-16 13:32:00,772 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.36460562499172716, accuracy: 0.8855238095238095
2024-10-16 13:32:00,803 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.26610406191952257, accuracy: 0.9118095238095238
2024-10-16 13:32:32,744 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.43278782069683075, accuracy: 0.8702857142857143
