iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.40063184086816855,0.8653333333333333,"[0.7008620321032513, 0.40063184086816855]","[0.7824761904761904, 0.8653333333333333]"
0,6,0.2584812498864639,0.9245714285714286,"[0.5693841382681605, 0.2584812498864639]","[0.8348571428571429, 0.9245714285714286]"
0,4,0.4207670733512166,0.8453333333333334,"[0.7728980284139334, 0.4207670733512166]","[0.7297142857142858, 0.8453333333333334]"
0,3,0.28065377500760985,0.9095238095238095,"[0.574132889509201, 0.28065377500760985]","[0.8314285714285714, 0.9095238095238095]"
0,2,0.44270541474043607,0.8474285714285714,"[0.8231102996561901, 0.44270541474043607]","[0.7371428571428571, 0.8474285714285714]"
0,0,0.35172662426190204,0.8763809523809524,"[0.6966471894677863, 0.35172662426190204]","[0.7516190476190476, 0.8763809523809524]"
0,1,0.4326158370598253,0.8539047619047619,"[0.7819871073027691, 0.4326158370598253]","[0.7502857142857143, 0.8539047619047619]"
0,5,0.601468161646142,0.7727619047619048,"[0.9656801658222475, 0.601468161646142]","[0.6455238095238095, 0.7727619047619048]"
1,0,0.2806294913212937,0.9045714285714286,"[0.39591067634433147, 0.2806294913212937]","[0.8676190476190476, 0.9045714285714286]"
1,4,0.37781339434974165,0.8577142857142858,"[0.46847402905843344, 0.37781339434974165]","[0.8297142857142857, 0.8577142857142858]"
1,6,0.22612592402890505,0.9314285714285714,"[0.32415759536516237, 0.22612592402890505]","[0.9022857142857142, 0.9314285714285714]"
1,7,0.35798384958362006,0.8843809523809524,"[0.43201034309634245, 0.35798384958362006]","[0.8603809523809524, 0.8843809523809524]"
1,3,0.23727993415780815,0.9234285714285714,"[0.314848364476698, 0.23727993415780815]","[0.8988571428571429, 0.9234285714285714]"
1,5,0.4935939139630421,0.8064761904761905,"[0.6377617723970528, 0.4935939139630421]","[0.7575238095238095, 0.8064761904761905]"
1,1,0.3758745423282485,0.8687619047619047,"[0.47825443098344, 0.3758745423282485]","[0.8401904761904762, 0.8687619047619047]"
1,2,0.3943592387150569,0.8693333333333333,"[0.5240705903754177, 0.3943592387150569]","[0.8291428571428572, 0.8693333333333333]"
2,3,0.2106668546975377,0.9323809523809524,"[0.26604658311390017, 0.2106668546975377]","[0.9196190476190477, 0.9323809523809524]"
2,5,0.4544355542544859,0.8247619047619048,"[0.5639113764087837, 0.4544355542544859]","[0.7866666666666666, 0.8247619047619048]"
2,7,0.32398003339767456,0.8975238095238095,"[0.3682089070060167, 0.32398003339767456]","[0.8779047619047619, 0.8975238095238095]"
2,2,0.36460562499172716,0.8855238095238095,"[0.462987605886287, 0.36460562499172716]","[0.8582857142857143, 0.8855238095238095]"
2,1,0.3365787702152528,0.8832380952380953,"[0.42574630964951343, 0.3365787702152528]","[0.8592380952380952, 0.8832380952380953]"
2,4,0.3199216312313654,0.8822857142857143,"[0.39835855292986677, 0.3199216312313654]","[0.8508571428571429, 0.8822857142857143]"
2,6,0.2005846937557301,0.9424761904761905,"[0.258595546887043, 0.2005846937557301]","[0.924, 0.9424761904761905]"
2,0,0.26610406191952257,0.9118095238095238,"[0.3289786452449948, 0.26610406191952257]","[0.8874285714285715, 0.9118095238095238]"
3,2,0.35778176730655764,0.8826666666666667,"[0.43278782069683075, 0.35778176730655764]","[0.8702857142857143, 0.8826666666666667]"
3,0,0.20635939429861955,0.932,"[0.2817733766264226, 0.20635939429861955]","[0.9036190476190477, 0.932]"
3,3,0.17323971853916903,0.9426666666666667,"[0.23323224556733327, 0.17323971853916903]","[0.9264761904761905, 0.9426666666666667]"
3,4,0.27375641124076155,0.8967619047619048,"[0.3604061903364687, 0.27375641124076155]","[0.864, 0.8967619047619048]"
3,7,0.29197863821523734,0.9053333333333333,"[0.3418937333556543, 0.29197863821523734]","[0.8872380952380953, 0.9053333333333333]"
