2024-10-15 23:38:44,197 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.3821445060498787, accuracy: 0.6740952380952381
2024-10-15 23:38:48,451 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.350321657368631, accuracy: 0.704952380952381
2024-10-15 23:38:48,528 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.283563981995438, accuracy: 0.7346666666666667
2024-10-15 23:38:48,798 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.4313801144108629, accuracy: 0.6838095238095238
2024-10-15 23:38:48,942 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.4231132391727332, accuracy: 0.6937142857142857
2024-10-15 23:38:48,979 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.3345031048312332, accuracy: 0.6975238095238095
2024-10-15 23:38:48,980 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.2400950493234577, accuracy: 0.7550476190476191
2024-10-15 23:38:49,017 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.1766722505742853, accuracy: 0.7533333333333333
2024-10-15 23:38:50,498 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.8294772894093485, accuracy: 0.7954285714285714
2024-10-15 23:38:54,301 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.7552177951191411, accuracy: 0.8175238095238095
2024-10-15 23:38:54,331 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.715736262364821, accuracy: 0.8708571428571429
2024-10-15 23:38:54,621 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.8348082679690737, accuracy: 0.8266666666666667
2024-10-15 23:38:54,661 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.8934125878594138, accuracy: 0.8325714285714285
2024-10-15 23:38:54,671 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.6434590457063732, accuracy: 0.8895238095238095
2024-10-15 23:38:54,701 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.8153919628172209, accuracy: 0.8337142857142857
2024-10-15 23:38:54,873 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.7246811088287469, accuracy: 0.8352380952380952
2024-10-15 23:39:34,463 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.8668448386770307, accuracy: 0.8607619047619047
2024-10-15 23:39:35,291 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.8623414913813273, accuracy: 0.8514285714285714
2024-10-15 23:39:35,299 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7949221184759429, accuracy: 0.8832380952380953
2024-10-15 23:39:35,487 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8412631022207665, accuracy: 0.8539047619047619
2024-10-15 23:39:35,527 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7170049185102636, accuracy: 0.9066666666666666
2024-10-15 23:39:35,599 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7932646639419324, accuracy: 0.8739047619047619
2024-10-15 23:39:35,636 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.850066807233926, accuracy: 0.8586666666666667
2024-10-15 23:39:35,751 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7153492609659831, accuracy: 0.8925714285714286
2024-10-15 23:39:40,581 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.6058764466733644, accuracy: 0.8980952380952381
2024-10-15 23:39:41,427 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.5727876238750689, accuracy: 0.8942857142857142
2024-10-15 23:39:41,461 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.5056687113010522, accuracy: 0.9137142857142857
2024-10-15 23:39:41,521 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5434801160386115, accuracy: 0.8897142857142857
2024-10-15 23:39:41,574 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.4254643137707855, accuracy: 0.9333333333333333
2024-10-15 23:39:41,596 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.5526717968059308, accuracy: 0.9045714285714286
2024-10-15 23:39:41,649 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.5386629216598742, accuracy: 0.9057142857142857
2024-10-15 23:39:41,726 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.4911017896551074, accuracy: 0.9106666666666666
2024-10-15 23:40:20,896 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.5241983424533497, accuracy: 0.9179047619047619
2024-10-15 23:40:21,500 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.46895139849547185, accuracy: 0.9386666666666666
2024-10-15 23:40:21,823 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.5785509031830411, accuracy: 0.9057142857142857
2024-10-15 23:40:22,415 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.48268565770351524, accuracy: 0.9272380952380952
2024-10-15 23:40:22,453 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.5688544631004333, accuracy: 0.9017142857142857
2024-10-15 23:40:22,492 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.5409379043362358, accuracy: 0.9184761904761904
2024-10-15 23:40:22,857 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.5693671535361897, accuracy: 0.9095238095238095
2024-10-15 23:40:22,970 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.5849204085089944, accuracy: 0.9007619047619048
2024-10-15 23:40:27,283 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.39287012056870896, accuracy: 0.9321904761904762
2024-10-15 23:40:27,853 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.31541199629957023, accuracy: 0.9535238095238096
2024-10-15 23:40:28,056 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.4202776009386236, accuracy: 0.9299047619047619
2024-10-15 23:40:28,507 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.38092068027366294, accuracy: 0.9358095238095238
2024-10-15 23:40:28,586 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.4104179887157498, accuracy: 0.927047619047619
2024-10-15 23:40:28,586 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3856537048563813, accuracy: 0.9363809523809524
2024-10-15 23:40:28,805 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.44528470129677744, accuracy: 0.9245714285714286
2024-10-15 23:40:28,849 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.4067426986766584, accuracy: 0.9253333333333333
2024-10-15 23:41:02,580 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.43919721083207564, accuracy: 0.9186666666666666
2024-10-15 23:41:05,040 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.4326906634099556, accuracy: 0.9257142857142857
2024-10-15 23:41:05,115 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.40061740134701584, accuracy: 0.931047619047619
2024-10-15 23:41:05,232 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.4215177575747172, accuracy: 0.9302857142857143
2024-10-15 23:41:05,388 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.356906842101704, accuracy: 0.9497142857142857
2024-10-15 23:41:05,506 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.45842228748581626, accuracy: 0.9226666666666666
