iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.8294772894093485,0.7954285714285714,"[1.3821445060498787, 0.8294772894093485]","[0.6740952380952381, 0.7954285714285714]"
0,6,0.7552177951191411,0.8175238095238095,"[1.350321657368631, 0.7552177951191411]","[0.704952380952381, 0.8175238095238095]"
0,4,0.715736262364821,0.8708571428571429,"[1.283563981995438, 0.715736262364821]","[0.7346666666666667, 0.8708571428571429]"
0,3,0.8348082679690737,0.8266666666666667,"[1.3345031048312332, 0.8348082679690737]","[0.6975238095238095, 0.8266666666666667]"
0,2,0.8153919628172209,0.8337142857142857,"[1.4231132391727332, 0.8153919628172209]","[0.6937142857142857, 0.8337142857142857]"
0,0,0.8934125878594138,0.8325714285714285,"[1.4313801144108629, 0.8934125878594138]","[0.6838095238095238, 0.8325714285714285]"
0,1,0.7246811088287469,0.8352380952380952,"[1.1766722505742853, 0.7246811088287469]","[0.7533333333333333, 0.8352380952380952]"
0,5,0.6434590457063732,0.8895238095238095,"[1.2400950493234577, 0.6434590457063732]","[0.7550476190476191, 0.8895238095238095]"
1,0,0.6058764466733644,0.8980952380952381,"[0.8668448386770307, 0.6058764466733644]","[0.8607619047619047, 0.8980952380952381]"
1,4,0.5056687113010522,0.9137142857142857,"[0.7949221184759429, 0.5056687113010522]","[0.8832380952380953, 0.9137142857142857]"
1,6,0.5434801160386115,0.8897142857142857,"[0.8412631022207665, 0.5434801160386115]","[0.8539047619047619, 0.8897142857142857]"
1,7,0.5727876238750689,0.8942857142857142,"[0.8623414913813273, 0.5727876238750689]","[0.8514285714285714, 0.8942857142857142]"
1,3,0.5386629216598742,0.9057142857142857,"[0.7932646639419324, 0.5386629216598742]","[0.8739047619047619, 0.9057142857142857]"
1,5,0.4254643137707855,0.9333333333333333,"[0.7170049185102636, 0.4254643137707855]","[0.9066666666666666, 0.9333333333333333]"
1,1,0.4911017896551074,0.9106666666666666,"[0.7153492609659831, 0.4911017896551074]","[0.8925714285714286, 0.9106666666666666]"
1,2,0.5526717968059308,0.9045714285714286,"[0.850066807233926, 0.5526717968059308]","[0.8586666666666667, 0.9045714285714286]"
2,3,0.39287012056870896,0.9321904761904762,"[0.5241983424533497, 0.39287012056870896]","[0.9179047619047619, 0.9321904761904762]"
2,5,0.31541199629957023,0.9535238095238096,"[0.46895139849547185, 0.31541199629957023]","[0.9386666666666666, 0.9535238095238096]"
2,7,0.4202776009386236,0.9299047619047619,"[0.5785509031830411, 0.4202776009386236]","[0.9057142857142857, 0.9299047619047619]"
2,2,0.4104179887157498,0.927047619047619,"[0.5688544631004333, 0.4104179887157498]","[0.9017142857142857, 0.927047619047619]"
2,1,0.38092068027366294,0.9358095238095238,"[0.48268565770351524, 0.38092068027366294]","[0.9272380952380952, 0.9358095238095238]"
2,4,0.3856537048563813,0.9363809523809524,"[0.5409379043362358, 0.3856537048563813]","[0.9184761904761904, 0.9363809523809524]"
2,6,0.4067426986766584,0.9253333333333333,"[0.5849204085089944, 0.4067426986766584]","[0.9007619047619048, 0.9253333333333333]"
2,0,0.44528470129677744,0.9245714285714286,"[0.5693671535361897, 0.44528470129677744]","[0.9095238095238095, 0.9245714285714286]"
3,2,0.3270729953592474,0.9420952380952381,"[0.43919721083207564, 0.3270729953592474]","[0.9186666666666666, 0.9420952380952381]"
3,0,0.3699998525959073,0.935047619047619,"[0.4326906634099556, 0.3699998525959073]","[0.9257142857142857, 0.935047619047619]"
3,3,0.31391849075302936,0.944,"[0.40061740134701584, 0.31391849075302936]","[0.931047619047619, 0.944]"
3,4,0.3136037986386906,0.948952380952381,"[0.4215177575747172, 0.3136037986386906]","[0.9302857142857143, 0.948952380952381]"
3,7,0.3370440296151421,0.9415238095238095,"[0.44506245454152427, 0.3370440296151421]","[0.9211428571428572, 0.9415238095238095]"
3,1,0.28961655082124654,0.9514285714285714,"[0.3737612853447596, 0.28961655082124654]","[0.9386666666666666, 0.9514285714285714]"
3,5,0.2522760039026087,0.9613333333333334,"[0.356906842101704, 0.2522760039026087]","[0.9497142857142857, 0.9613333333333334]"
3,6,0.3298760896830848,0.9457142857142857,"[0.45842228748581626, 0.3298760896830848]","[0.9226666666666666, 0.9457142857142857]"
4,3,0.26642746302214537,0.952,"[0.3313025349920446, 0.26642746302214537]","[0.9380952380952381, 0.952]"
4,6,0.2792198528846105,0.9533333333333334,"[0.3819854311870806, 0.2792198528846105]","[0.9314285714285714, 0.9533333333333334]"
4,0,0.3032649647105824,0.9464761904761905,"[0.3531153114456119, 0.3032649647105824]","[0.9363809523809524, 0.9464761904761905]"
4,5,0.2141029437383016,0.9655238095238096,"[0.29391021109891663, 0.2141029437383016]","[0.9548571428571428, 0.9655238095238096]"
4,4,0.2670847881020922,0.9533333333333334,"[0.35525152836785173, 0.2670847881020922]","[0.9398095238095238, 0.9533333333333334]"
4,1,0.24735744577465635,0.9558095238095238,"[0.3122317854202155, 0.24735744577465635]","[0.9451428571428572, 0.9558095238095238]"
4,2,0.2772669981374885,0.951047619047619,"[0.365935326164419, 0.2772669981374885]","[0.9297142857142857, 0.951047619047619]"
4,7,0.27949802658774636,0.9504761904761905,"[0.36586313780510066, 0.27949802658774636]","[0.9308571428571428, 0.9504761904761905]"
