name,parameters
bat_resnext26ts,8702690
beit_base_patch16_224,85769674
beit_base_patch16_384,85982794
beit_large_patch16_224,303415818
beit_large_patch16_384,303984138
beit_large_patch16_512,304659978
beitv2_base_patch16_224,85769674
beitv2_large_patch16_224,303415818
botnet26t_256,10460162
botnet50ts_256,20714178
caformer_b36,95711344
caformer_m36,53922928
caformer_s18,24313146
caformer_s36,37268592
cait_m36_384,270460042
cait_m48_448,355699210
cait_s24_224,46535050
cait_s24_384,46680970
cait_s36_384,67985482
cait_xs24_384,26383978
cait_xxs24_224,11765194
cait_xxs24_384,11838154
cait_xxs36_224,17108650
cait_xxs36_384,17181610
coat_lite_medium,44063178
coat_lite_medium_384,44063178
coat_lite_mini,10503690
coat_lite_small,19330634
coat_lite_tiny,5404170
coat_mini,10122174
coat_small,21376118
coat_tiny,5347070
coatnet_0_224,24275510
coatnet_0_rw_224,26674252
coatnet_1_224,41464466
coatnet_1_rw_224,40960192
coatnet_2_224,73669994
coatnet_2_rw_224,72853650
coatnet_3_224,165444634
coatnet_3_rw_224,163651798
coatnet_4_224,273903658
coatnet_5_224,685443498
coatnet_bn_0_rw_224,26674252
coatnet_nano_cc_224,13249458
coatnet_nano_rw_224,14633374
coatnet_pico_rw_224,10343494
coatnet_rmlp_0_rw_224,26684764
coatnet_rmlp_1_rw2_224,40963312
coatnet_rmlp_1_rw_224,40930672
coatnet_rmlp_2_rw_224,72866514
coatnet_rmlp_2_rw_384,72866514
coatnet_rmlp_3_rw_224,163631158
coatnet_rmlp_nano_rw_224,14637246
coatnext_nano_rw_224,14193374
convformer_b36,96840346
convformer_m36,54769690
convformer_s18,24745938
convformer_s36,37983642
convit_base,85778730
convit_small,27348652
convit_tiny,5519442
convmixer_768_32,20348938
convmixer_1024_20_ks9_p14,23368714
convmixer_1536_20,50104330
convnext_atto,3377730
convnext_atto_ols,3385122
convnext_base,87576714
convnext_femto,4836634
convnext_femto_ols,4845370
convnext_large,196245706
convnext_large_mlp,198606538
convnext_nano,14958970
convnext_nano_ols,15014970
convnext_pico,8537802
convnext_pico_ols,8554058
convnext_small,49462378
convnext_tiny,27827818
convnext_tiny_hnf,27827818
convnext_xlarge,348168458
convnext_xxlarge,843428746
convnextv2_atto,3390610
convnextv2_base,87703050
convnextv2_femto,4852090
convnextv2_huge,657500810
convnextv2_large,196435210
convnextv2_nano,14989210
convnextv2_pico,8558410
convnextv2_small,49557130
convnextv2_tiny,27874186
crossvit_9_240,8171156
crossvit_9_dagger_240,8394452
crossvit_15_240,26956244
crossvit_15_dagger_240,27636788
crossvit_15_dagger_408,27927860
crossvit_18_240,42604148
crossvit_18_dagger_240,43599716
crossvit_18_dagger_408,43939300
crossvit_base_240,103882772
crossvit_small_240,26284052
crossvit_tiny_240,6727700
cs3darknet_focus_l,20136970
cs3darknet_focus_m,8543050
cs3darknet_focus_s,2766858
cs3darknet_focus_x,33756810
cs3darknet_l,20149418
cs3darknet_m,8548930
cs3darknet_s,2768474
cs3darknet_x,33778130
cs3edgenet_x,46552930
cs3se_edgenet_x,49453394
cs3sedarknet_l,20898842
cs3sedarknet_x,34129714
cs3sedarknet_xdw,19572978
cspdarknet53,26627434
cspresnet50,20601418
cspresnet50d,20620650
cspresnet50w,26089706
cspresnext50,18541386
darknet17,13290090
darknet21,19848298
darknet53,40595178
darknetaa53,35008234
davit_base,86939658
davit_giant,1403427850
davit_huge,346894346
davit_large,195290122
davit_small,48984586
davit_tiny,27598858
deit3_base_patch16_224,85824010
deit3_base_patch16_384,86115850
deit3_huge_patch14_224,630858250
deit3_large_patch16_224,303360010
deit3_large_patch16_384,303749130
deit3_medium_patch16_224,38341642
deit3_small_patch16_224,21678346
deit3_small_patch16_384,21824266
deit_base_distilled_patch16_224,85815572
deit_base_distilled_patch16_384,86107412
deit_base_patch16_224,85806346
deit_base_patch16_384,86098186
deit_small_distilled_patch16_224,21674132
deit_small_patch16_224,21669514
deit_tiny_distilled_patch16_224,5528660
deit_tiny_patch16_224,5526346
densenet121,6964106
densenet161,26494090
densenet169,12501130
densenet201,18112138
densenet264d,68743546
densenetblur121d,6983338
dla34,15234234
dla46_c,1046970
dla46x_c,814010
dla60,21021882
dla60_res2net,19833322
dla60_res2next,16018234
dla60x,16337594
dla60x_c,1065402
dla102,32254138
dla102x,25294522
dla102x2,40267450
dla169,52374970
dm_nfnet_f0,68447014
dm_nfnet_f1,129591986
dm_nfnet_f2,190736958
dm_nfnet_f3,251881930
dm_nfnet_f4,313026902
dm_nfnet_f5,374171874
dm_nfnet_f6,435316846
dpn48b,8301556
dpn68,11786932
dpn68b,11786932
dpn92,35006282
dpn98,58908618
dpn107,84255690
dpn131,76592394
eca_botnext26ts_256,8564791
eca_halonext26ts,8728375
eca_nfnet_l0,21861974
eca_nfnet_l1,38365458
eca_nfnet_l2,53680078
eca_nfnet_l3,68994698
eca_resnet33ts,18408112
eca_resnext26ts,8269478
