2024-10-15 21:37:41,806 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.354068282672337, accuracy: 0.2384
2024-10-15 21:37:44,325 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.4149082490376066, accuracy: 0.2144
2024-10-15 21:37:45,562 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.3242372989654543, accuracy: 0.2416
2024-10-15 21:37:45,974 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.368404391833714, accuracy: 0.2272
2024-10-15 21:37:46,129 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.295530802862985, accuracy: 0.25074285714285716
2024-10-15 21:37:46,260 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 2.4204231194087438, accuracy: 0.22514285714285714
2024-10-15 21:37:46,691 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.3242936951773507, accuracy: 0.2546285714285714
2024-10-15 21:37:47,696 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 2.222090186391558, accuracy: 0.24434285714285714
2024-10-15 21:37:57,203 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.8296670028141566, accuracy: 0.33577142857142855
2024-10-15 21:37:59,587 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.9277586085455758, accuracy: 0.2941714285714286
2024-10-15 21:38:00,919 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 2.020288624082293, accuracy: 0.27085714285714285
2024-10-15 21:38:01,180 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 1.7571096113749913, accuracy: 0.33417142857142856
2024-10-15 21:38:01,630 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.92228456224714, accuracy: 0.3216
2024-10-15 21:38:02,023 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.8792881829398018, accuracy: 0.3008
2024-10-15 21:38:02,262 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 1.8215879712785994, accuracy: 0.3405714285714286
2024-10-15 21:38:03,318 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 1.83161986214774, accuracy: 0.33462857142857144
2024-10-15 21:38:12,225 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 7] Training on 7 results: loss: 1.658170509338379, accuracy: 0.39908571428571427
2024-10-15 21:38:14,705 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 6] Training on 6 results: loss: 1.7527940341404507, accuracy: 0.3481142857142857
2024-10-15 21:38:15,941 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 0] Training on 0 results: loss: 1.7946577412741525, accuracy: 0.3485714285714286
2024-10-15 21:38:16,369 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 2] Training on 2 results: loss: 1.6202159813472203, accuracy: 0.40205714285714284
2024-10-15 21:38:16,649 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 4] Training on 4 results: loss: 1.7297602619443622, accuracy: 0.3641142857142857
2024-10-15 21:38:17,055 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 3] Training on 3 results: loss: 1.6838242837360926, accuracy: 0.37097142857142856
2024-10-15 21:38:17,368 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 5] Training on 5 results: loss: 1.6388495683670044, accuracy: 0.39954285714285714
2024-10-15 21:38:18,509 - model_logger - INFO - [ITERATION 0 | EPOCH 2 | NODE 1] Training on 1 results: loss: 1.6159262027059282, accuracy: 0.4041142857142857
2024-10-15 21:38:27,097 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 7] Training on 7 results: loss: 1.549660505567278, accuracy: 0.42788571428571426
2024-10-15 21:38:29,398 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 6] Training on 6 results: loss: 1.576787635258266, accuracy: 0.4102857142857143
2024-10-15 21:38:30,301 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 0] Training on 0 results: loss: 1.6108368430818831, accuracy: 0.40045714285714284
2024-10-15 21:38:30,422 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 2] Training on 2 results: loss: 1.4644756998334612, accuracy: 0.45302857142857145
2024-10-15 21:38:30,731 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 4] Training on 4 results: loss: 1.5077885167939322, accuracy: 0.44434285714285715
2024-10-15 21:38:30,949 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 3] Training on 3 results: loss: 1.573680489403861, accuracy: 0.4230857142857143
2024-10-15 21:38:31,122 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 5] Training on 5 results: loss: 1.467405685356685, accuracy: 0.4614857142857143
2024-10-15 21:38:31,720 - model_logger - INFO - [ITERATION 0 | EPOCH 3 | NODE 1] Training on 1 results: loss: 1.4649886284555709, accuracy: 0.46285714285714286
2024-10-15 21:39:49,054 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 2.0529729298182895, accuracy: 0.2925714285714286
2024-10-15 21:39:49,310 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 2.062985396385193, accuracy: 0.26674285714285717
2024-10-15 21:39:49,387 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.9862146241324288, accuracy: 0.2992
2024-10-15 21:39:49,522 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 2.016656616755894, accuracy: 0.30742857142857144
2024-10-15 21:39:49,543 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 2.00345549924033, accuracy: 0.29942857142857143
2024-10-15 21:39:49,629 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.9740599870681763, accuracy: 0.2998857142857143
2024-10-15 21:39:49,685 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 2.202343392372131, accuracy: 0.2566857142857143
2024-10-15 21:39:49,737 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 2.002630686759949, accuracy: 0.28274285714285713
2024-10-15 21:40:04,019 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 1.7206168106624058, accuracy: 0.3766857142857143
2024-10-15 21:40:04,239 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 1.7082640750067575, accuracy: 0.35954285714285716
2024-10-15 21:40:04,264 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 1.6491180011204312, accuracy: 0.39085714285714285
2024-10-15 21:40:04,543 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 1.6763643877846854, accuracy: 0.39017142857142856
2024-10-15 21:40:04,570 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 1.6303644009998866, accuracy: 0.3933714285714286
