test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
3.0322352662871155,0.1,0.01818181818181818,0.01,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,0
3.5278704981260662,0.1,0.01818181818181818,0.01,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,orchestrator,1
2.1068417437468905,0.2805,0.2591519658843188,0.4775700687251369,0.2805,0.258,0.163,0.317,0.428,0.169,0.212,0.905,0.064,0.139,0.15,orchestrator,2
1.2146552122091945,0.5759,0.5754203805655593,0.6132849698946204,0.5759000000000001,0.595,0.768,0.383,0.426,0.28,0.493,0.887,0.528,0.73,0.669,orchestrator,3
1.038201474690739,0.6471,0.6391996938223918,0.6564766676474169,0.6471000000000001,0.714,0.849,0.367,0.364,0.379,0.695,0.842,0.706,0.767,0.788,orchestrator,4
1.0465691119809695,0.6696,0.6647535372726725,0.6824363817452872,0.6696000000000001,0.773,0.863,0.487,0.371,0.442,0.643,0.888,0.661,0.73,0.838,orchestrator,5
1.0730062730704681,0.69,0.6867514659464193,0.7130709541417424,0.69,0.732,0.87,0.487,0.343,0.468,0.79,0.866,0.654,0.84,0.85,orchestrator,6
1.0597760103925873,0.7099,0.7069089108534231,0.7149298081091507,0.7099,0.713,0.778,0.536,0.443,0.63,0.594,0.885,0.761,0.874,0.885,orchestrator,7
0.9869418068777157,0.7335,0.730309691759913,0.7347446963599976,0.7335,0.75,0.804,0.57,0.441,0.675,0.707,0.829,0.769,0.901,0.889,orchestrator,8
1.0318548551088647,0.7382,0.7335240274035723,0.7399464571947647,0.7382,0.799,0.89,0.538,0.425,0.606,0.748,0.845,0.768,0.879,0.884,orchestrator,9
1.0161056511009796,0.7464,0.743702862559936,0.7469702087145378,0.7464000000000001,0.783,0.864,0.565,0.489,0.676,0.683,0.863,0.785,0.872,0.884,orchestrator,10
1.0444702581514287,0.7411,0.7382613005384376,0.740890406001218,0.7411,0.797,0.849,0.628,0.466,0.65,0.632,0.866,0.744,0.877,0.902,orchestrator,11
1.031232160857961,0.7531,0.7501765567111451,0.7512802962125347,0.7531,0.798,0.884,0.612,0.487,0.664,0.697,0.851,0.764,0.894,0.88,orchestrator,12
1.0553892368002782,0.7506,0.7481587923076684,0.7502470609926128,0.7506,0.784,0.873,0.632,0.473,0.687,0.668,0.868,0.755,0.893,0.873,orchestrator,13
1.0341092363188538,0.7518,0.7503452546733637,0.7527171851549307,0.7518,0.786,0.876,0.642,0.507,0.72,0.662,0.844,0.699,0.907,0.875,orchestrator,14
1.0639509422869622,0.7593,0.7569574413448578,0.7588797071637949,0.7593,0.77,0.9,0.635,0.514,0.665,0.703,0.862,0.735,0.897,0.912,orchestrator,15
1.0383063483087323,0.7621,0.7602901342886952,0.7616655687107856,0.7621,0.769,0.868,0.627,0.525,0.704,0.706,0.845,0.76,0.906,0.911,orchestrator,16
1.0900765661197374,0.7555,0.7530113759946173,0.7553890990378651,0.7555000000000002,0.799,0.859,0.613,0.516,0.683,0.654,0.876,0.752,0.908,0.895,orchestrator,17
1.078190868413901,0.7632,0.7609930933169718,0.7622690067699576,0.7632,0.773,0.857,0.616,0.528,0.713,0.691,0.858,0.776,0.913,0.907,orchestrator,18
1.0959658984896503,0.7612,0.7585102957442197,0.7601107288132021,0.7612,0.78,0.88,0.639,0.52,0.674,0.654,0.885,0.769,0.892,0.919,orchestrator,19
1.0926030534732192,0.7652,0.7627719119629363,0.7633925910691955,0.7651999999999999,0.748,0.881,0.633,0.526,0.709,0.699,0.837,0.794,0.93,0.895,orchestrator,20
1.1161651732046394,0.7608,0.7594858133705296,0.7621508344876761,0.7608,0.751,0.873,0.655,0.511,0.702,0.711,0.864,0.753,0.908,0.88,orchestrator,21
1.1106094303010385,0.767,0.7648369855169663,0.7651126464364041,0.767,0.791,0.895,0.636,0.502,0.743,0.695,0.836,0.794,0.876,0.902,orchestrator,22
1.13088192404071,0.7709,0.7684859285507621,0.7696039638197518,0.7708999999999999,0.773,0.863,0.658,0.52,0.695,0.714,0.869,0.791,0.92,0.906,orchestrator,23
1.113174799876877,0.7701,0.770311250634085,0.7713614440250414,0.7701,0.774,0.893,0.677,0.602,0.7,0.675,0.818,0.765,0.901,0.896,orchestrator,24
1.1296874069714848,0.7676,0.7652709579135758,0.7661408617563067,0.7676000000000001,0.791,0.882,0.64,0.491,0.721,0.726,0.831,0.804,0.883,0.907,orchestrator,25
1.1573959098586553,0.7733,0.772223136346022,0.7738750008011521,0.7733,0.765,0.897,0.608,0.572,0.733,0.708,0.856,0.779,0.919,0.896,orchestrator,26
1.1957586958438535,0.7716,0.7690873388237232,0.7711837005228988,0.7716000000000001,0.748,0.88,0.634,0.509,0.727,0.749,0.846,0.775,0.92,0.928,orchestrator,27
1.177419991432866,0.7708,0.7685451407772056,0.7707056828809743,0.7707999999999999,0.785,0.856,0.621,0.512,0.715,0.75,0.842,0.795,0.912,0.92,orchestrator,28
1.1565216055399254,0.7758,0.7739638337231705,0.7739607159674433,0.7758,0.778,0.892,0.641,0.561,0.752,0.658,0.852,0.816,0.903,0.905,orchestrator,29
1.1757088661948336,0.7755,0.7741639411242005,0.7746037219000719,0.7755,0.8,0.903,0.637,0.563,0.744,0.688,0.844,0.774,0.91,0.892,orchestrator,30
