iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,1.549660505567278,0.42788571428571426,"[2.354068282672337, 1.8296670028141566, 1.658170509338379, 1.549660505567278]","[0.2384, 0.33577142857142855, 0.39908571428571427, 0.42788571428571426]"
0,6,1.576787635258266,0.4102857142857143,"[2.4149082490376066, 1.9277586085455758, 1.7527940341404507, 1.576787635258266]","[0.2144, 0.2941714285714286, 0.3481142857142857, 0.4102857142857143]"
0,4,1.5077885167939322,0.44434285714285715,"[2.295530802862985, 1.92228456224714, 1.7297602619443622, 1.5077885167939322]","[0.25074285714285716, 0.3216, 0.3641142857142857, 0.44434285714285715]"
0,3,1.573680489403861,0.4230857142857143,"[2.4204231194087438, 1.8792881829398018, 1.6838242837360926, 1.573680489403861]","[0.22514285714285714, 0.3008, 0.37097142857142856, 0.4230857142857143]"
0,2,1.4644756998334612,0.45302857142857145,"[2.368404391833714, 1.7571096113749913, 1.6202159813472203, 1.4644756998334612]","[0.2272, 0.33417142857142856, 0.40205714285714284, 0.45302857142857145]"
0,0,1.6108368430818831,0.40045714285714284,"[2.3242372989654543, 2.020288624082293, 1.7946577412741525, 1.6108368430818831]","[0.2416, 0.27085714285714285, 0.3485714285714286, 0.40045714285714284]"
0,1,1.4649886284555709,0.46285714285714286,"[2.222090186391558, 1.83161986214774, 1.6159262027059282, 1.4649886284555709]","[0.24434285714285714, 0.33462857142857144, 0.4041142857142857, 0.46285714285714286]"
0,5,1.467405685356685,0.4614857142857143,"[2.3242936951773507, 1.8215879712785994, 1.6388495683670044, 1.467405685356685]","[0.2546285714285714, 0.3405714285714286, 0.39954285714285714, 0.4614857142857143]"
1,0,1.3896679946354458,0.4841142857142857,"[2.0529729298182895, 1.7206168106624058, 1.5403673716953823, 1.3896679946354458]","[0.2925714285714286, 0.3766857142857143, 0.43565714285714285, 0.4841142857142857]"
1,4,1.2973492332867214,0.5204571428571428,"[2.00345549924033, 1.6303644009998866, 1.4479178735188076, 1.2973492332867214]","[0.29942857142857143, 0.3933714285714286, 0.4587428571428571, 0.5204571428571428]"
1,6,1.3865182076181684,0.4838857142857143,"[2.062985396385193, 1.7082640750067575, 1.5323806660515922, 1.3865182076181684]","[0.26674285714285717, 0.35954285714285716, 0.4324571428571429, 0.4838857142857143]"
1,7,1.3714921167918614,0.4912,"[2.016656616755894, 1.6763643877846854, 1.4853799649647303, 1.3714921167918614]","[0.30742857142857144, 0.39017142857142856, 0.4512, 0.4912]"
1,3,1.3253390380314418,0.504,"[1.9862146241324288, 1.6491180011204312, 1.4494568961007255, 1.3253390380314418]","[0.2992, 0.39085714285714285, 0.46285714285714286, 0.504]"
1,5,1.515862648827689,0.4418285714285714,"[2.202343392372131, 1.8241696459906442, 1.6527148042406354, 1.515862648827689]","[0.2566857142857143, 0.3193142857142857, 0.3956571428571429, 0.4418285714285714]"
1,1,1.372998879637037,0.49188571428571426,"[1.9740599870681763, 1.6754405941282, 1.5048927562577383, 1.372998879637037]","[0.2998857142857143, 0.3746285714285714, 0.43565714285714285, 0.49188571428571426]"
1,2,1.3964146392686025,0.48114285714285715,"[2.002630686759949, 1.7253979580742973, 1.506163225855146, 1.3964146392686025]","[0.28274285714285713, 0.3664, 0.4406857142857143, 0.48114285714285715]"
2,3,1.2421415771756854,0.5517714285714286,"[1.7074857643672399, 1.451373451096671, 1.3260993889399937, 1.2421415771756854]","[0.37897142857142857, 0.4569142857142857, 0.5145142857142857, 0.5517714285714286]"
2,5,1.109895317895072,0.5897142857142857,"[1.76417145047869, 1.398781510761806, 1.222295868396759, 1.109895317895072]","[0.3677714285714286, 0.48297142857142855, 0.5618285714285715, 0.5897142857142857]"
2,7,1.1944275294031417,0.5627428571428571,"[1.7738074779510498, 1.4893436738422938, 1.306902095249721, 1.1944275294031417]","[0.3673142857142857, 0.4404571428571429, 0.5220571428571429, 0.5627428571428571]"
2,2,1.2289638996124268,0.5394285714285715,"[1.7196604319981166, 1.4759763990129744, 1.3395164557865689, 1.2289638996124268]","[0.3664, 0.4470857142857143, 0.5019428571428571, 0.5394285714285715]"
2,1,1.152960581438882,0.5769142857142857,"[1.713167187145778, 1.4259334376880102, 1.2655711344310216, 1.152960581438882]","[0.38742857142857146, 0.4669714285714286, 0.5314285714285715, 0.5769142857142857]"
2,4,1.1037422469684055,0.5833142857142857,"[1.7168171201433455, 1.3654080833707536, 1.2517719967024667, 1.1037422469684055]","[0.37988571428571427, 0.49051428571428574, 0.5353142857142857, 0.5833142857142857]"
2,6,1.1935027309826443,0.5494857142857142,"[1.6788803713662284, 1.4574534007481166, 1.3230447752135142, 1.1935027309826443]","[0.3762285714285714, 0.45645714285714284, 0.4962285714285714, 0.5494857142857142]"
2,0,1.1915333781923567,0.5606857142857142,"[1.746667640549796, 1.5318276507513864, 1.3394966432026454, 1.1915333781923567]","[0.37302857142857143, 0.4509714285714286, 0.5115428571428572, 0.5606857142857142]"
3,2,0.9289019137620926,0.6571428571428571,"[1.3840063640049525, 1.1965326411383492, 1.0791539021900722, 0.9289019137620926]","[0.4953142857142857, 0.5593142857142858, 0.6016, 0.6571428571428571]"
3,0,0.9503096682684762,0.648,"[1.490985553605216, 1.282356595993042, 1.1018441387585232, 0.9503096682684762]","[0.4688, 0.5405714285714286, 0.6, 0.648]"
3,3,1.0225624740123749,0.6185142857142857,"[1.4375395740781511, 1.2737174715314592, 1.1704364316804068, 1.0225624740123749]","[0.4674285714285714, 0.5332571428571429, 0.5693714285714285, 0.6185142857142857]"
3,4,0.9334117957523891,0.6502857142857142,"[1.4116606303623744, 1.165353788648333, 1.064091718196869, 0.9334117957523891]","[0.4896, 0.5785142857142858, 0.6045714285714285, 0.6502857142857142]"
3,7,1.0138680934906006,0.6249142857142858,"[1.4657870292663575, 1.264668597493853, 1.1170999254499163, 1.0138680934906006]","[0.4676571428571429, 0.5408, 0.5908571428571429, 0.6249142857142858]"
3,1,0.9430241005761283,0.6566857142857143,"[1.4179963503565107, 1.2573319588388716, 1.0729035070964268, 0.9430241005761283]","[0.49074285714285715, 0.5426285714285715, 0.6043428571428572, 0.6566857142857143]"
3,5,0.9754776341574533,0.6432,"[1.3875138248716081, 1.2331373844827924, 1.0769868271691458, 0.9754776341574533]","[0.5010285714285714, 0.5611428571428572, 0.6032, 0.6432]"
3,6,1.036958578654698,0.6125714285714285,"[1.4315316302435739, 1.303460419178009, 1.152455106803349, 1.036958578654698]","[0.4790857142857143, 0.5168, 0.5645714285714286, 0.6125714285714285]"
4,3,0.8055481817041125,0.7083428571428572,"[1.2536893469946726, 1.0408482755933488, 0.9160491670880999, 0.8055481817041125]","[0.544, 0.6256, 0.6722285714285714, 0.7083428571428572]"
4,6,0.721023319874491,0.7293714285714286,"[1.225845411845616, 1.0091615744999476, 0.866191098519734, 0.721023319874491]","[0.5540571428571428, 0.6292571428571428, 0.6779428571428572, 0.7293714285714286]"
4,0,0.7832362072808402,0.7122285714285714,"[1.277343988418579, 1.0902189561298916, 0.9143231775079455, 0.7832362072808402]","[0.5483428571428571, 0.6050285714285715, 0.6688, 0.7122285714285714]"
4,5,0.7633642839533942,0.7193142857142857,"[1.2152317115238735, 1.124100477354867, 0.8962545207568577, 0.7633642839533942]","[0.5565714285714286, 0.6002285714285714, 0.6790857142857143, 0.7193142857142857]"
4,4,0.7272908283131463,0.7339428571428571,"[1.2246736219951084, 1.0320548721722194, 0.8655404146228518, 0.7272908283131463]","[0.5597714285714286, 0.6253714285714286, 0.6795428571428571, 0.7339428571428571]"
4,1,0.7194344827107021,0.7373714285714286,"[1.2425016045570374, 1.018900134733745, 0.8304342504058565, 0.7194344827107021]","[0.5478857142857143, 0.6267428571428572, 0.7019428571428571, 0.7373714285714286]"
4,2,0.7145131234611783,0.7243428571428572,"[1.177254707472665, 0.9673327037266323, 0.8147447147539684, 0.7145131234611783]","[0.5741714285714286, 0.6413714285714286, 0.6978285714285715, 0.7243428571428572]"
4,7,0.7978386870452336,0.7122285714285714,"[1.2645366208893911, 1.0551927021571568, 0.9383399571691241, 0.7978386870452336]","[0.5508571428571428, 0.6283428571428571, 0.6621714285714285, 0.7122285714285714]"
5,2,0.5416174701281956,0.8038857142857143,"[1.0452654463904245, 0.8477433843272073, 0.6808186237301145, 0.5416174701281956]","[0.6262857142857143, 0.6841142857142857, 0.7446857142857143, 0.8038857142857143]"
5,6,0.5749135315418243,0.7954285714285714,"[1.0806724684579032, 0.8728019441877093, 0.7388820435319629, 0.5749135315418243]","[0.6100571428571429, 0.6854857142857143, 0.7266285714285714, 0.7954285714285714]"
5,0,0.5402071220534188,0.8032,"[1.120241027218955, 0.9016118815967015, 0.7078961423465184, 0.5402071220534188]","[0.6077714285714285, 0.6797714285714286, 0.7460571428571429, 0.8032]"
5,7,0.6005843090159553,0.7817142857142857,"[1.0685245701244899, 0.8567355036735534, 0.7325848685843604, 0.6005843090159553]","[0.6272, 0.6946285714285715, 0.7417142857142857, 0.7817142857142857]"
5,5,0.5925842523574829,0.7842285714285714,"[1.1024013706615994, 0.9112441607883999, 0.7447237883295331, 0.5925842523574829]","[0.6125714285714285, 0.6740571428571429, 0.7261714285714286, 0.7842285714285714]"
5,4,0.47856021331889287,0.8304,"[1.079062841619764, 0.8349602486406054, 0.6311240113207273, 0.47856021331889287]","[0.6139428571428571, 0.6875428571428571, 0.7689142857142857, 0.8304]"
5,3,0.5335808634757996,0.8169142857142857,"[1.1250447171075004, 0.8381058837686266, 0.6362219599740846, 0.5335808634757996]","[0.5977142857142858, 0.6955428571428571, 0.7737142857142857, 0.8169142857142857]"
5,1,0.5702726897384439,0.7933714285714286,"[1.0701665997505188, 0.8552196715559278, 0.6738919415644237, 0.5702726897384439]","[0.6164571428571428, 0.6964571428571429, 0.7563428571428571, 0.7933714285714286]"
