2024-10-15 23:32:50,675 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.8657985785639429, accuracy: 0.7125714285714285
2024-10-15 23:32:52,517 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.8731703980859503, accuracy: 0.7047619047619048
2024-10-15 23:32:53,527 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.8938905970159784, accuracy: 0.7013333333333334
2024-10-15 23:32:53,687 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.869093455464007, accuracy: 0.7152380952380952
2024-10-15 23:32:53,886 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.9119510474693344, accuracy: 0.7028571428571428
2024-10-15 23:32:53,890 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.8660132493599352, accuracy: 0.7093333333333334
2024-10-15 23:32:54,005 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.9316336799816913, accuracy: 0.7038095238095238
2024-10-15 23:32:54,067 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.4669176620173167, accuracy: 0.8299047619047619
2024-10-15 23:32:54,102 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.890777978193329, accuracy: 0.7038095238095238
2024-10-15 23:32:55,941 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.49040979703506793, accuracy: 0.8304761904761905
2024-10-15 23:32:57,095 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.4805308472679322, accuracy: 0.8287619047619048
2024-10-15 23:32:57,139 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.45808300375938416, accuracy: 0.8438095238095238
2024-10-15 23:32:57,457 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.4802058234990361, accuracy: 0.8278095238095238
2024-10-15 23:32:57,493 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.5163405623780676, accuracy: 0.8274285714285714
2024-10-15 23:32:57,526 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.48990015452166635, accuracy: 0.8211428571428572
2024-10-15 23:32:57,526 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.4909714747624225, accuracy: 0.8384761904761905
2024-10-15 23:33:27,908 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.5987014558659979, accuracy: 0.8158095238095238
2024-10-15 23:33:29,558 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.5096744460513792, accuracy: 0.8182857142857143
2024-10-15 23:33:29,971 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.5202433815203518, accuracy: 0.8186666666666667
2024-10-15 23:33:30,026 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.5073223792644869, accuracy: 0.819047619047619
2024-10-15 23:33:30,064 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.5394717185612184, accuracy: 0.807047619047619
2024-10-15 23:33:30,065 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.5335970041622599, accuracy: 0.8053333333333333
2024-10-15 23:33:30,102 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.5661954793585352, accuracy: 0.8154285714285714
2024-10-15 23:33:30,103 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.5084051908139723, accuracy: 0.8257142857142857
2024-10-15 23:33:31,488 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.45629665345312603, accuracy: 0.8502857142857143
2024-10-15 23:33:33,323 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.39664051942078465, accuracy: 0.8533333333333334
2024-10-15 23:33:33,583 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.39655276037842396, accuracy: 0.861904761904762
2024-10-15 23:33:33,699 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.4149447291730398, accuracy: 0.8476190476190476
2024-10-15 23:33:33,713 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.43803500195583667, accuracy: 0.8438095238095238
2024-10-15 23:33:33,758 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.38802799762013446, accuracy: 0.8685714285714285
2024-10-15 23:33:33,771 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.43090981460479366, accuracy: 0.8417142857142857
2024-10-15 23:33:33,795 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.45788502459784586, accuracy: 0.8445714285714285
2024-10-15 23:34:04,498 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.4613661439303892, accuracy: 0.832952380952381
2024-10-15 23:34:05,904 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.4703135531709855, accuracy: 0.8278095238095238
2024-10-15 23:34:05,927 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.43214102592094833, accuracy: 0.8464761904761905
2024-10-15 23:34:06,217 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.5212979047413332, accuracy: 0.832952380952381
2024-10-15 23:34:06,258 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.4411981829318656, accuracy: 0.8561904761904762
2024-10-15 23:34:06,297 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.5475030123110277, accuracy: 0.8413333333333334
2024-10-15 23:34:06,297 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.4353550977735634, accuracy: 0.8401904761904762
2024-10-15 23:34:06,443 - model_logger - INFO - [ITERATION 2 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.4322690256388791, accuracy: 0.8508571428571429
2024-10-15 23:34:08,032 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.3780715347054493, accuracy: 0.8624761904761905
2024-10-15 23:34:09,449 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.38013347857687846, accuracy: 0.8651428571428571
2024-10-15 23:34:09,732 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.33342006012617825, accuracy: 0.876
2024-10-15 23:34:09,890 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.42355198458016635, accuracy: 0.8678095238095238
2024-10-15 23:34:09,942 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3450443577694606, accuracy: 0.8706666666666667
2024-10-15 23:34:09,943 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.3429841153233884, accuracy: 0.88
2024-10-15 23:34:09,980 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.4221900633300643, accuracy: 0.8613333333333333
2024-10-15 23:34:10,147 - model_logger - INFO - [ITERATION 2 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.33394267239484443, accuracy: 0.8758095238095238
2024-10-15 23:34:44,984 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.5167148551308965, accuracy: 0.8540952380952381
2024-10-15 23:34:45,006 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.3893456060484231, accuracy: 0.8609523809523809
2024-10-15 23:34:45,013 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.3883905595684626, accuracy: 0.8573333333333333
2024-10-15 23:34:45,013 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.48828804367277995, accuracy: 0.8539047619047619
2024-10-15 23:34:45,035 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.42561879915645323, accuracy: 0.8459047619047619
2024-10-15 23:34:45,058 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.3949438423277384, accuracy: 0.8504761904761905
2024-10-15 23:34:45,098 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.39480102178921184, accuracy: 0.8721904761904762
2024-10-15 23:34:45,212 - model_logger - INFO - [ITERATION 3 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.3806066891874175, accuracy: 0.8622857142857143
2024-10-15 23:34:48,644 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.3742538252508784, accuracy: 0.8838095238095238
2024-10-15 23:34:48,644 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.38137529090226413, accuracy: 0.8790476190476191
2024-10-15 23:34:48,691 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.2992643029036292, accuracy: 0.8912380952380953
2024-10-15 23:34:48,691 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.3184168115258217, accuracy: 0.8775238095238095
2024-10-15 23:34:48,710 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.31009783048227607, accuracy: 0.8862857142857142
2024-10-15 23:34:48,710 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.34013932081590215, accuracy: 0.8746666666666667
2024-10-15 23:34:48,718 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.32508751480694276, accuracy: 0.8786666666666667
2024-10-15 23:34:48,838 - model_logger - INFO - [ITERATION 3 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.292435861495604, accuracy: 0.8910476190476191
2024-10-15 23:35:25,496 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.37076627974768717, accuracy: 0.8638095238095238
2024-10-15 23:35:25,497 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.35640243988439263, accuracy: 0.8716190476190476
2024-10-15 23:35:25,740 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.4770292497902031, accuracy: 0.8685714285714285
2024-10-15 23:35:25,837 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.35660443221589166, accuracy: 0.8832380952380953
2024-10-15 23:35:25,896 - model_logger - INFO - [ITERATION 4 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.35242439770554923, accuracy: 0.8653333333333333
