test_loss,accuracy,f1score,precision,recall,accuracy_per_0,accuracy_per_1,accuracy_per_2,accuracy_per_3,accuracy_per_4,accuracy_per_5,accuracy_per_6,accuracy_per_7,accuracy_per_8,accuracy_per_9,node_id,epoch
4.441485172624041,0.1646,0.08392092760512831,0.28121229226450695,0.1646,0.0,0.0,0.154,0.976,0.023,0.0,0.492,0.0,0.001,0.0,orchestrator,0
3.751846273993231,0.2767,0.20061929124091016,0.4878430233642728,0.2767,0.17,0.008,0.828,0.979,0.125,0.0,0.62,0.0,0.037,0.0,orchestrator,1
1.719936447538388,0.4646,0.45839498935991924,0.8356185257208335,0.4646,0.69,0.778,0.851,0.785,0.442,0.032,0.789,0.09,0.172,0.017,orchestrator,2
1.176810987436088,0.6522,0.6488693544415837,0.7873530448252952,0.6522,0.674,0.904,0.902,0.806,0.835,0.326,0.438,0.615,0.135,0.887,orchestrator,3
1.9487318772419242,0.532,0.5192394450670647,0.7935548925875,0.532,0.768,0.785,0.93,0.774,0.759,0.008,0.482,0.079,0.254,0.481,orchestrator,4
0.9001268055408623,0.7257,0.7329359024124968,0.8008445489175633,0.7257,0.709,0.892,0.815,0.877,0.916,0.587,0.531,0.534,0.546,0.85,orchestrator,5
0.4264878303192224,0.8518,0.8542288647036328,0.865204130865442,0.8517999999999999,0.738,0.945,0.761,0.881,0.915,0.959,0.666,0.89,0.789,0.974,orchestrator,6
0.4742993205595928,0.8405,0.8458713365489556,0.8667394811654864,0.8405000000000001,0.655,0.9,0.803,0.893,0.779,0.976,0.786,0.943,0.721,0.949,orchestrator,7
0.5011286533372418,0.8399,0.8415333504194186,0.8581904296027163,0.8398999999999999,0.646,0.932,0.805,0.914,0.909,0.933,0.622,0.945,0.739,0.954,orchestrator,8
0.44910735385433126,0.8554,0.8562870712608378,0.8671068178323376,0.8554,0.719,0.953,0.877,0.848,0.894,0.979,0.595,0.958,0.803,0.928,orchestrator,9
0.5135692683090071,0.8424,0.8459336390827155,0.8656400398557007,0.8423999999999999,0.636,0.909,0.796,0.859,0.914,0.959,0.728,0.924,0.733,0.966,orchestrator,10
0.36049280439023,0.8784,0.8809166770161043,0.8862897847079296,0.8784000000000001,0.795,0.954,0.832,0.843,0.883,0.958,0.732,0.91,0.913,0.964,orchestrator,11
0.39651589052882164,0.8757,0.8762375941612838,0.8813871412172558,0.8756999999999999,0.816,0.941,0.84,0.911,0.9,0.944,0.626,0.954,0.882,0.943,orchestrator,12
0.4771130501179938,0.8598,0.8623749361123718,0.8760953029441945,0.8597999999999999,0.804,0.939,0.831,0.816,0.935,0.968,0.604,0.969,0.825,0.907,orchestrator,13
0.39816102058075037,0.8753,0.878402549423644,0.8864351193416355,0.8753000000000002,0.753,0.949,0.823,0.851,0.891,0.97,0.752,0.936,0.892,0.936,orchestrator,14
0.38547962362978866,0.8733,0.8749218835515287,0.8856508342699418,0.8733000000000001,0.71,0.963,0.735,0.889,0.938,0.97,0.701,0.959,0.915,0.953,orchestrator,15
0.35705792040202267,0.8851,0.8875511498886443,0.8944502531954891,0.8850999999999999,0.759,0.957,0.832,0.831,0.892,0.969,0.76,0.97,0.944,0.937,orchestrator,16
0.43750866659127985,0.8739,0.8761471015599094,0.8821250710995165,0.8738999999999999,0.835,0.916,0.881,0.838,0.877,0.938,0.689,0.947,0.897,0.921,orchestrator,17
0.37669140266574874,0.8887,0.8899107409297058,0.8945716459903723,0.8886999999999998,0.836,0.962,0.826,0.83,0.917,0.983,0.706,0.968,0.933,0.926,orchestrator,18
0.33565082083082504,0.8925,0.8945465661363523,0.8983736588673755,0.8925000000000001,0.81,0.967,0.847,0.871,0.818,0.983,0.784,0.937,0.964,0.944,orchestrator,19
0.3940524496849935,0.8821,0.8846104583602148,0.8920911034793763,0.8821,0.774,0.953,0.805,0.828,0.901,0.98,0.761,0.973,0.908,0.938,orchestrator,20
