iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.4669176620173167,0.8299047619047619,"[0.8657985785639429, 0.4669176620173167]","[0.7125714285714285, 0.8299047619047619]"
0,6,0.4805308472679322,0.8287619047619048,"[0.8938905970159784, 0.4805308472679322]","[0.7013333333333334, 0.8287619047619048]"
0,4,0.49040979703506793,0.8304761904761905,"[0.8731703980859503, 0.49040979703506793]","[0.7047619047619048, 0.8304761904761905]"
0,3,0.4802058234990361,0.8278095238095238,"[0.8660132493599352, 0.4802058234990361]","[0.7093333333333334, 0.8278095238095238]"
0,2,0.45808300375938416,0.8438095238095238,"[0.869093455464007, 0.45808300375938416]","[0.7152380952380952, 0.8438095238095238]"
0,0,0.4909714747624225,0.8384761904761905,"[0.9316336799816913, 0.4909714747624225]","[0.7038095238095238, 0.8384761904761905]"
0,1,0.5163405623780676,0.8274285714285714,"[0.9119510474693344, 0.5163405623780676]","[0.7028571428571428, 0.8274285714285714]"
0,5,0.48990015452166635,0.8211428571428572,"[0.890777978193329, 0.48990015452166635]","[0.7038095238095238, 0.8211428571428572]"
1,0,0.45629665345312603,0.8502857142857143,"[0.5987014558659979, 0.45629665345312603]","[0.8158095238095238, 0.8502857142857143]"
1,4,0.39664051942078465,0.8533333333333334,"[0.5096744460513792, 0.39664051942078465]","[0.8182857142857143, 0.8533333333333334]"
1,6,0.4149447291730398,0.8476190476190476,"[0.5073223792644869, 0.4149447291730398]","[0.819047619047619, 0.8476190476190476]"
1,7,0.39655276037842396,0.861904761904762,"[0.5202433815203518, 0.39655276037842396]","[0.8186666666666667, 0.861904761904762]"
1,3,0.43090981460479366,0.8417142857142857,"[0.5335970041622599, 0.43090981460479366]","[0.8053333333333333, 0.8417142857142857]"
1,5,0.43803500195583667,0.8438095238095238,"[0.5394717185612184, 0.43803500195583667]","[0.807047619047619, 0.8438095238095238]"
1,1,0.45788502459784586,0.8445714285714285,"[0.5661954793585352, 0.45788502459784586]","[0.8154285714285714, 0.8445714285714285]"
1,2,0.38802799762013446,0.8685714285714285,"[0.5084051908139723, 0.38802799762013446]","[0.8257142857142857, 0.8685714285714285]"
2,3,0.3780715347054493,0.8624761904761905,"[0.4613661439303892, 0.3780715347054493]","[0.832952380952381, 0.8624761904761905]"
2,5,0.38013347857687846,0.8651428571428571,"[0.4703135531709855, 0.38013347857687846]","[0.8278095238095238, 0.8651428571428571]"
2,7,0.33342006012617825,0.876,"[0.43214102592094833, 0.33342006012617825]","[0.8464761904761905, 0.876]"
2,2,0.3429841153233884,0.88,"[0.4411981829318656, 0.3429841153233884]","[0.8561904761904762, 0.88]"
2,1,0.42355198458016635,0.8678095238095238,"[0.5212979047413332, 0.42355198458016635]","[0.832952380952381, 0.8678095238095238]"
2,4,0.3450443577694606,0.8706666666666667,"[0.4353550977735634, 0.3450443577694606]","[0.8401904761904762, 0.8706666666666667]"
2,6,0.33394267239484443,0.8758095238095238,"[0.4322690256388791, 0.33394267239484443]","[0.8508571428571429, 0.8758095238095238]"
2,0,0.4221900633300643,0.8613333333333333,"[0.5475030123110277, 0.4221900633300643]","[0.8413333333333334, 0.8613333333333333]"
3,2,0.2992643029036292,0.8912380952380953,"[0.39480102178921184, 0.2992643029036292]","[0.8721904761904762, 0.8912380952380953]"
3,0,0.3742538252508784,0.8838095238095238,"[0.5167148551308965, 0.3742538252508784]","[0.8540952380952381, 0.8838095238095238]"
3,3,0.32508751480694276,0.8786666666666667,"[0.3949438423277384, 0.32508751480694276]","[0.8504761904761905, 0.8786666666666667]"
3,4,0.3184168115258217,0.8775238095238095,"[0.3883905595684626, 0.3184168115258217]","[0.8573333333333333, 0.8775238095238095]"
3,7,0.292435861495604,0.8910476190476191,"[0.3806066891874175, 0.292435861495604]","[0.8622857142857143, 0.8910476190476191]"
3,1,0.38137529090226413,0.8790476190476191,"[0.48828804367277995, 0.38137529090226413]","[0.8539047619047619, 0.8790476190476191]"
3,5,0.34013932081590215,0.8746666666666667,"[0.42561879915645323, 0.34013932081590215]","[0.8459047619047619, 0.8746666666666667]"
3,6,0.31009783048227607,0.8862857142857142,"[0.3893456060484231, 0.31009783048227607]","[0.8609523809523809, 0.8862857142857142]"
4,3,0.30519432287259274,0.8870476190476191,"[0.37076627974768717, 0.30519432287259274]","[0.8638095238095238, 0.8870476190476191]"
4,6,0.2881738419633314,0.8944761904761904,"[0.35640243988439263, 0.2881738419633314]","[0.8716190476190476, 0.8944761904761904]"
4,0,0.3474882159786052,0.8902857142857142,"[0.4770292497902031, 0.3474882159786052]","[0.8685714285714285, 0.8902857142857142]"
4,5,0.30655977040170185,0.8841904761904762,"[0.3855233449174697, 0.30655977040170185]","[0.8611428571428571, 0.8841904761904762]"
4,4,0.2749076332133937,0.8923809523809524,"[0.35242439770554923, 0.2749076332133937]","[0.8653333333333333, 0.8923809523809524]"
4,1,0.37249616237289934,0.8824761904761905,"[0.46580101226467685, 0.37249616237289934]","[0.8655238095238095, 0.8824761904761905]"
4,2,0.2846284067056265,0.9015238095238095,"[0.35660443221589166, 0.2846284067056265]","[0.8832380952380953, 0.9015238095238095]"
4,7,0.286438633788781,0.8954285714285715,"[0.351263848413904, 0.286438633788781]","[0.8729523809523809, 0.8954285714285715]"
5,2,0.2788401576409857,0.9057142857142857,"[0.32874413283474474, 0.2788401576409857]","[0.8891428571428571, 0.9057142857142857]"
5,6,0.2578093054064785,0.9060952380952381,"[0.3289830138884395, 0.2578093054064785]","[0.8830476190476191, 0.9060952380952381]"
5,0,0.34972397372665176,0.8912380952380953,"[0.43407104083572523, 0.34972397372665176]","[0.8784761904761905, 0.8912380952380953]"
5,7,0.23223804242639656,0.9114285714285715,"[0.31628616540187815, 0.23223804242639656]","[0.8885714285714286, 0.9114285714285715]"
5,5,0.29543763291404906,0.890095238095238,"[0.3492036625204316, 0.29543763291404906]","[0.8716190476190476, 0.890095238095238]"
5,4,0.26211094102227545,0.8988571428571429,"[0.32449869075453425, 0.26211094102227545]","[0.8752380952380953, 0.8988571428571429]"
5,3,0.2741556398301239,0.8961904761904762,"[0.3317877422255206, 0.2741556398301239]","[0.8754285714285714, 0.8961904761904762]"
5,1,0.3575078209480607,0.8927619047619048,"[0.44610717766974345, 0.3575078209480607]","[0.8788571428571429, 0.8927619047619048]"
6,7,0.21792406660605626,0.9192380952380952,"[0.2929404541311494, 0.21792406660605626]","[0.8908571428571429, 0.9192380952380952]"
