2024-10-15 17:24:11,608 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 4] Training on 4 results: loss: 1.5084653095765548, accuracy: 0.6752380952380952
2024-10-15 17:24:12,781 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 7] Training on 7 results: loss: 1.5445893529689674, accuracy: 0.6485714285714286
2024-10-15 17:24:12,939 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 6] Training on 6 results: loss: 1.5062722386735858, accuracy: 0.6748571428571428
2024-10-15 17:24:13,124 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 3] Training on 3 results: loss: 1.4745837413903438, accuracy: 0.6935238095238095
2024-10-15 17:24:13,428 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 2] Training on 2 results: loss: 1.475903256372972, accuracy: 0.6912380952380952
2024-10-15 17:24:13,429 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 1] Training on 1 results: loss: 1.5041473944981893, accuracy: 0.6847619047619048
2024-10-15 17:24:13,470 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 0] Training on 0 results: loss: 1.491966953422084, accuracy: 0.6822857142857143
2024-10-15 17:24:13,544 - model_logger - INFO - [ITERATION 0 | EPOCH 0 | NODE 5] Training on 5 results: loss: 1.4918169762149, accuracy: 0.6836190476190476
2024-10-15 17:24:17,426 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 4] Training on 4 results: loss: 0.9830745104587439, accuracy: 0.8441904761904762
2024-10-15 17:24:18,471 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.9466875979394623, accuracy: 0.8523809523809524
2024-10-15 17:24:18,639 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.9390753265583154, accuracy: 0.8577142857142858
2024-10-15 17:24:18,821 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.9082894491426873, accuracy: 0.8571428571428571
2024-10-15 17:24:19,091 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 2] Training on 2 results: loss: 0.9116295243754532, accuracy: 0.86
2024-10-15 17:24:19,115 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 1] Training on 1 results: loss: 0.9431017796198528, accuracy: 0.864
2024-10-15 17:24:19,177 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.9324660861130917, accuracy: 0.8565714285714285
2024-10-15 17:24:19,197 - model_logger - INFO - [ITERATION 0 | EPOCH 1 | NODE 5] Training on 5 results: loss: 0.9261722452712782, accuracy: 0.8535238095238096
2024-10-15 17:24:57,659 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 6] Training on 6 results: loss: 0.7442785358790195, accuracy: 0.8878095238095238
2024-10-15 17:24:57,694 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 0] Training on 0 results: loss: 0.7561476508776347, accuracy: 0.8822857142857143
2024-10-15 17:24:57,840 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 3] Training on 3 results: loss: 0.7537334956906059, accuracy: 0.8872380952380953
2024-10-15 17:24:57,879 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 7] Training on 7 results: loss: 0.7647495553349004, accuracy: 0.8813333333333333
2024-10-15 17:24:57,912 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 4] Training on 4 results: loss: 0.7490670556371862, accuracy: 0.886095238095238
2024-10-15 17:24:58,191 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 5] Training on 5 results: loss: 0.7589278909293088, accuracy: 0.8813333333333333
2024-10-15 17:24:58,346 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 2] Training on 2 results: loss: 0.7581694429570979, accuracy: 0.8767619047619047
2024-10-15 17:24:58,466 - model_logger - INFO - [ITERATION 1 | EPOCH 0 | NODE 1] Training on 1 results: loss: 0.7540005268472614, accuracy: 0.888
2024-10-15 17:25:04,123 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 6] Training on 6 results: loss: 0.5541867866660609, accuracy: 0.92
2024-10-15 17:25:04,197 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 0] Training on 0 results: loss: 0.5653019856322895, accuracy: 0.9125714285714286
2024-10-15 17:25:04,299 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 7] Training on 7 results: loss: 0.5710079632022164, accuracy: 0.9051428571428571
2024-10-15 17:25:04,299 - model_logger - INFO - [ITERATION 1 | EPOCH 1 | NODE 3] Training on 3 results: loss: 0.5616144115274603, accuracy: 0.9148571428571428
