iteration,node_id,loss,accuracy,full_loss,full_accuracy
0,7,0.9466875979394623,0.8523809523809524,"[1.5445893529689674, 0.9466875979394623]","[0.6485714285714286, 0.8523809523809524]"
0,6,0.9390753265583154,0.8577142857142858,"[1.5062722386735858, 0.9390753265583154]","[0.6748571428571428, 0.8577142857142858]"
0,4,0.9830745104587439,0.8441904761904762,"[1.5084653095765548, 0.9830745104587439]","[0.6752380952380952, 0.8441904761904762]"
0,3,0.9082894491426873,0.8571428571428571,"[1.4745837413903438, 0.9082894491426873]","[0.6935238095238095, 0.8571428571428571]"
0,2,0.9116295243754532,0.86,"[1.475903256372972, 0.9116295243754532]","[0.6912380952380952, 0.86]"
0,0,0.9324660861130917,0.8565714285714285,"[1.491966953422084, 0.9324660861130917]","[0.6822857142857143, 0.8565714285714285]"
0,1,0.9431017796198528,0.864,"[1.5041473944981893, 0.9431017796198528]","[0.6847619047619048, 0.864]"
0,5,0.9261722452712782,0.8535238095238096,"[1.4918169762149, 0.9261722452712782]","[0.6836190476190476, 0.8535238095238096]"
1,0,0.5653019856322895,0.9125714285714286,"[0.7561476508776347, 0.5653019856322895]","[0.8822857142857143, 0.9125714285714286]"
1,4,0.5554788278810906,0.915047619047619,"[0.7490670556371862, 0.5554788278810906]","[0.886095238095238, 0.915047619047619]"
1,6,0.5541867866660609,0.92,"[0.7442785358790195, 0.5541867866660609]","[0.8878095238095238, 0.92]"
1,7,0.5710079632022164,0.9051428571428571,"[0.7647495553349004, 0.5710079632022164]","[0.8813333333333333, 0.9051428571428571]"
1,3,0.5616144115274603,0.9148571428571428,"[0.7537334956906059, 0.5616144115274603]","[0.8872380952380953, 0.9148571428571428]"
1,5,0.566263032320774,0.9137142857142857,"[0.7589278909293088, 0.566263032320774]","[0.8813333333333333, 0.9137142857142857]"
1,1,0.5607557573101737,0.9152380952380952,"[0.7540005268472614, 0.5607557573101737]","[0.888, 0.9152380952380952]"
1,2,0.5698812143369154,0.9028571428571428,"[0.7581694429570979, 0.5698812143369154]","[0.8767619047619047, 0.9028571428571428]"
2,3,0.39551897554686577,0.9321904761904762,"[0.47154986479065636, 0.39551897554686577]","[0.9213333333333333, 0.9321904761904762]"
2,5,0.39303460825573316,0.9323809523809524,"[0.47321945555282363, 0.39303460825573316]","[0.9207619047619048, 0.9323809523809524]"
2,7,0.39853722435055355,0.928952380952381,"[0.4773406205755292, 0.39853722435055355]","[0.9146666666666666, 0.928952380952381]"
2,2,0.4181000719467799,0.9217142857142857,"[0.4769721909002824, 0.4181000719467799]","[0.9100952380952381, 0.9217142857142857]"
2,1,0.39079098096399595,0.9339047619047619,"[0.46886281407240665, 0.39079098096399595]","[0.924, 0.9339047619047619]"
2,4,0.39411236652822207,0.9340952380952381,"[0.464777395400134, 0.39411236652822207]","[0.9219047619047619, 0.9340952380952381]"
2,6,0.3895992330529473,0.9335238095238095,"[0.4617876385197495, 0.3895992330529473]","[0.923047619047619, 0.9335238095238095]"
2,0,0.3961019510572607,0.932,"[0.4726837486931772, 0.3961019510572607]","[0.919047619047619, 0.932]"
3,2,0.3191074044415445,0.935047619047619,"[0.36251957407503416, 0.3191074044415445]","[0.9257142857142857, 0.935047619047619]"
3,0,0.3126492508433082,0.9386666666666666,"[0.35650011526815817, 0.3126492508433082]","[0.9335238095238095, 0.9386666666666666]"
3,3,0.3098133452010877,0.944,"[0.3544555931380301, 0.3098133452010877]","[0.9344761904761905, 0.944]"
3,4,0.30553926608779214,0.9434285714285714,"[0.3495078018217376, 0.30553926608779214]","[0.9346666666666666, 0.9434285714285714]"
3,7,0.3168509254852931,0.9384761904761905,"[0.35995866042194946, 0.3168509254852931]","[0.9302857142857143, 0.9384761904761905]"
3,1,0.3049373152581128,0.9451428571428572,"[0.3514146781328953, 0.3049373152581128]","[0.936, 0.9451428571428572]"
3,5,0.30868312404914333,0.944,"[0.35498543535218097, 0.30868312404914333]","[0.9321904761904762, 0.944]"
3,6,0.3029872664899537,0.9443809523809524,"[0.347501234032891, 0.3029872664899537]","[0.9342857142857143, 0.9443809523809524]"
4,3,0.26085459928620947,0.9493333333333334,"[0.29019853897166975, 0.26085459928620947]","[0.9415238095238095, 0.9493333333333334]"
4,6,0.25267530210090405,0.9508571428571428,"[0.28399091213941574, 0.25267530210090405]","[0.943047619047619, 0.9508571428571428]"
4,0,0.2615856177427552,0.9451428571428572,"[0.2918953784487464, 0.2615856177427552]","[0.9398095238095238, 0.9451428571428572]"
4,5,0.2563803323290565,0.9497142857142857,"[0.28955858905207027, 0.2563803323290565]","[0.940952380952381, 0.9497142857142857]"
4,4,0.2591972542080012,0.9497142857142857,"[0.2852724845210711, 0.2591972542080012]","[0.9424761904761905, 0.9497142857142857]"
4,1,0.2577167258118138,0.9523809523809523,"[0.2871536362351793, 0.2577167258118138]","[0.9464761904761905, 0.9523809523809523]"
4,2,0.27000993047699784,0.9434285714285714,"[0.29889352041663547, 0.27000993047699784]","[0.9356190476190476, 0.9434285714285714]"
4,7,0.26122590601444245,0.9495238095238095,"[0.2939569532871246, 0.26122590601444245]","[0.9392380952380952, 0.9495238095238095]"
5,2,0.24398487684401599,0.9495238095238095,"[0.25766564192193925, 0.24398487684401599]","[0.9422857142857143, 0.9495238095238095]"
5,6,0.2197701731414506,0.9575238095238096,"[0.24349938211115923, 0.2197701731414506]","[0.9502857142857143, 0.9575238095238096]"
5,0,0.22600804273829317,0.9500952380952381,"[0.25105177466616485, 0.22600804273829317]","[0.9441904761904761, 0.9500952380952381]"
5,7,0.22908347827015502,0.9533333333333334,"[0.2523116446354172, 0.22908347827015502]","[0.9457142857142857, 0.9533333333333334]"
5,5,0.2221691895614971,0.9548571428571428,"[0.2477301816145579, 0.2221691895614971]","[0.9476190476190476, 0.9548571428571428]"
5,4,0.22228224530364527,0.955047619047619,"[0.24464939792047846, 0.22228224530364527]","[0.9491428571428572, 0.955047619047619]"
5,3,0.22695100993821116,0.9518095238095238,"[0.24886394116011532, 0.22695100993821116]","[0.9462857142857143, 0.9518095238095238]"
5,1,0.22263224174578986,0.9567619047619048,"[0.24527662509318554, 0.22263224174578986]","[0.9521904761904761, 0.9567619047619048]"
6,7,0.20115800472823056,0.9603809523809523,"[0.22319332510232925, 0.20115800472823056]","[0.9508571428571428, 0.9603809523809523]"
6,3,0.19905352592468262,0.9563809523809523,"[0.22090336418513096, 0.19905352592468262]","[0.9506666666666667, 0.9563809523809523]"
6,0,0.20048295440095842,0.9540952380952381,"[0.22203770609516085, 0.20048295440095842]","[0.948, 0.9540952380952381]"
